normalized_location,country,status
"brisbane, queensland, australia",Australia,direct_match
bristol,Unknown,unknown_fallback_cache
"bristol, england",United Kingdom,direct_match
"bristol, england, united kingdom",United Kingdom,direct_match
"bristol, united kingdom",United Kingdom,direct_match
"briston, united kingdom",United Kingdom,direct_match
"british columbia, canada",Canada,direct_match
"brixham, united kingdom",United Kingdom,direct_match
"brixworth, united kingdom",United Kingdom,direct_match
"brno, czech republic",Czechia,direct_match
"broadstairs, united kingdom",United Kingdom,direct_match
"broken hill, australia",Australia,direct_match
"bromley, united kingdom",United Kingdom,direct_match
"bromma, sweden",Sweden,direct_match
"bromsgrove, united kingdom",United Kingdom,direct_match
"bronshoej, denmark",Denmark,direct_match
"brooklyn, new york",Unknown,unknown_fallback_cache
"brooklyn, ny",Unknown,unknown_fallback_cache
"broome, australia",Australia,direct_match
"brora, united kingdom",United Kingdom,direct_match
"broulee, australia",Australia,direct_match
"brunswick heads, australia",Australia,direct_match
"brussels, belgium",Belgium,direct_match
bucharest,Unknown,unknown_fallback_cache
"bucharest, romania",Romania,direct_match
"buckfastleigh, united kingdom",United Kingdom,direct_match
"buckhead, georgia",Georgia,direct_match
"buckhurst hill, united kingdom",United Kingdom,direct_match
"buckingham, united kingdom",United Kingdom,direct_match
buckinghamshire,Unknown,unknown_fallback_cache
"buckinghamshire, united kingdom",United Kingdom,direct_match
"bucks, england",United Kingdom,direct_match
bucuresti,Unknown,unknown_fallback_cache
budapest,Unknown,unknown_fallback_cache
"budapest, hungary",Hungary,direct_match
"bude, united kingdom",United Kingdom,direct_match
buderim,Unknown,unknown_fallback_cache
"buderim, australia",Australia,direct_match
"buderim, queensland, australia",Australia,direct_match
"budgewoi, australia",Australia,direct_match
"buenos aires, argentina",Argentina,direct_match
"bukit mertajam, malaysia",Malaysia,direct_match
"bulandshahr, india",India,direct_match
"bulawayo, zimbabwe",Zimbabwe,direct_match
"bunbury, australia",Australia,direct_match
"bunbury, united kingdom",United Kingdom,direct_match
"bundaberg, australia",Australia,direct_match
"bundi, india",India,direct_match
"bundoora, australia",Australia,direct_match
"bungay, united kingdom",United Kingdom,direct_match
"burgdorf, switzerland",Switzerland,direct_match
"burgess hill, united kingdom",United Kingdom,direct_match
"burley, united kingdom",United Kingdom,direct_match
"burlington, canada",Canada,direct_match
"burnaby, canada",Canada,direct_match
"burnley, united kingdom",United Kingdom,direct_match
"burnside, australia",Australia,direct_match
"burscheid, germany",Germany,direct_match
"burton upon trent, united kingdom",United Kingdom,direct_match
"burton, texas",Unknown,unknown_fallback_cache
burton-on-trent,Unknown,unknown_fallback_cache
"burwash, united kingdom",United Kingdom,direct_match
"bury st edmunds, uk",Sao Tome and Principe,direct_match
